From Position,To Position,Expected (um),Actual (um),Difference (um),Feed
"(0.001000000,0.001414000)","(0.001707000,0.000707000)",0.999848989,2.623864132,1.624015144,50
"(0.001707000,0.000707000)","(0.001000000,0.000000000)",0.999848989,2.132863141,1.133014152,50
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,1.546502481,0.546502481,50
"(0.000000000,0.000000000)","(-0.000707000,-0.000707000)",0.999848989,3.256467739,2.256618751,50
"(-0.000707000,-0.000707000)","(0.000293000,-0.000707000)",1,2.448976855,1.448976855,50
"(0.000293000,-0.000707000)","(0.001293000,-0.000707000)",1,1.991076709,0.991076709,50
"(0.001293000,-0.000707000)","(0.000586000,0.000000000)",0.999848989,2.591364129,1.59151514,50
"(0.000586000,0.000000000)","(0.000000000,0.000000000)",0.586,2.684965977,2.098965977,50
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,4.99189957,-5.00810043,50
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10,6.342517195,-3.657482805,50
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10,4.839707671,-5.160292329,50
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,5.651838217,-4.348161783,50
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10,11.77074279,1.770742786,50
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10,11.0647317,1.064731701,50
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10,11.85254126,1.852541255,50
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10,11.66296255,1.662962554,50
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.9999041,9.282971674,-0.716932426,50
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.9999041,7.956247955,-2.043656145,50
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.9999041,8.613666521,-1.386237578,50
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.803167531,-1.196736569,50
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.9999041,10.42744803,0.427543931,50
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.9999041,8.385574997,-1.614329103,50
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.9999041,8.583275109,-1.416628991,50
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.758158822,-1.241745277,50
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,4.556719261,-5.443280739,50
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.9999041,9.688093414,-0.311810686,50
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.9999041,7.932740733,-2.067163366,50
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.9999041,9.739205562,-0.260698537,50
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.9999041,8.441332694,-1.558571405,50
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,5.558529232,-4.441470768,50
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.9999041,9.237970801,-0.761933298,50
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10,6.420808151,-3.579191849,50
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",10,2.727080525,-7.272919475,50
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.9999041,8.690593527,-1.309310573,50
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.858,3.677105582,-2.180894418,50
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,5.994152728,-4.005847272,50
"(0.010000000,0.000000000)","(0.020000000,0.000000000)",10,4.556316594,-5.443683406,50
"(0.020000000,0.000000000)","(0.010000000,0.000000000)",10,5.277862711,-4.722137289,50
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,5.958539429,-4.041460571,50
"(0.000000000,0.000000000)","(0.000000000,0.010000000)",10,11.65242613,1.652426134,50
"(0.000000000,0.010000000)","(0.000000000,0.020000000)",10,11.21498001,1.214980015,50
"(0.000000000,0.020000000)","(0.000000000,0.010000000)",10,11.42221339,1.422213392,50
"(0.000000000,0.010000000)","(0.000000000,0.000000000)",10,11.60184695,1.601846947,50
"(0.000000000,0.000000000)","(0.007071000,0.007071000)",9.9999041,8.273164453,-1.726739647,50
"(0.007071000,0.007071000)","(0.014142000,0.014142000)",9.9999041,8.833983356,-1.165920743,50
"(0.014142000,0.014142000)","(0.007071000,0.007071000)",9.9999041,8.986605912,-1.013298187,50
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.29170108,-1.70820302,50
"(0.000000000,0.000000000)","(-0.007071000,0.007071000)",9.9999041,9.501279627,-0.498624473,50
"(-0.007071000,0.007071000)","(0.000000000,0.014142000)",9.9999041,8.42640902,-1.573495079,50
"(0.000000000,0.014142000)","(0.007071000,0.007071000)",9.9999041,9.379404929,-0.62049917,50
"(0.007071000,0.007071000)","(0.000000000,0.000000000)",9.9999041,8.572006918,-1.427897182,50
"(0.000000000,0.000000000)","(0.010000000,0.000000000)",10,4.574585745,-5.425414255,50
"(0.010000000,0.000000000)","(0.002929000,0.007071000)",9.9999041,9.440878538,-0.559025562,50
"(0.002929000,0.007071000)","(0.010000000,0.014142000)",9.9999041,7.885569231,-2.114334869,50
"(0.010000000,0.014142000)","(0.017071000,0.007071000)",9.9999041,9.683659431,-0.316244669,50
"(0.017071000,0.007071000)","(0.010000000,0.000000000)",9.9999041,8.548864419,-1.451039681,50
"(0.010000000,0.000000000)","(0.000000000,0.000000000)",10,4.232071155,-5.767928845,50
"(0.000000000,0.000000000)","(-0.007071000,-0.007071000)",9.9999041,9.108180273,-0.891723826,50
"(-0.007071000,-0.007071000)","(0.002929000,-0.007071000)",10,4.395389856,-5.604610144,50
"(0.002929000,-0.007071000)","(0.012929000,-0.007071000)",10,4.153335585,-5.846664415,50
"(0.012929000,-0.007071000)","(0.005858000,0.000000000)",9.9999041,9.131032611,-0.868871488,50
"(0.005858000,0.000000000)","(0.000000000,0.000000000)",5.858,3.529995984,-2.328004016,50
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,29.69766805,-20.30233195,50
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50,28.38533179,-21.61466821,50
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50,28.91267482,-21.08732518,50
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,26.58453073,-23.41546927,50
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50,54.51361602,4.513616016,50
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50,40.13408376,-9.865916243,50
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50,40.79239102,-9.207608978,50
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50,54.9637224,4.963722397,50
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.9995205,42.32886288,-7.670657621,50
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471,35.82756249,-14.17337222,50
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471,36.72991102,-13.27102369,50
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,41.61205055,-8.38746995,50
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.9995205,48.61312029,-1.386400209,50
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022761,36.17076631,-13.8294613,50
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022761,41.46182411,-8.538403499,50
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,40.55568946,-9.443831037,50
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,29.58771034,-20.41228966,50
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.9995205,47.16930457,-2.83021593,50
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022761,35.71534963,-14.28487798,50
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022761,41.86876201,-8.1314656,50
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.9995205,41.46201662,-8.537503883,50
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,29.52091329,-20.47908671,50
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.9995205,40.88501006,-9.11451044,50
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",50,31.08128357,-18.91871643,50
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",50,28.24756819,-21.75243181,50
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022761,46.13822519,-3.862002424,50
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.289,15.0327992,-14.2562008,50
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,28.62056131,-21.37943869,50
"(0.050000000,0.000000000)","(0.100000000,0.000000000)",50,30.06246442,-19.93753558,50
"(0.100000000,0.000000000)","(0.050000000,0.000000000)",50,30.98782997,-19.01217003,50
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,29.59276251,-20.40723749,50
"(0.000000000,0.000000000)","(0.000000000,0.050000000)",50,52.48400888,2.484008876,50
"(0.000000000,0.050000000)","(0.000000000,0.100000000)",50,42.24493133,-7.755068671,50
"(0.000000000,0.100000000)","(0.000000000,0.050000000)",50,41.69986408,-8.300135922,50
"(0.000000000,0.050000000)","(0.000000000,0.000000000)",50,53.06490706,3.06490706,50
"(0.000000000,0.000000000)","(0.035355000,0.035355000)",49.9995205,42.80618898,-7.193331515,50
"(0.035355000,0.035355000)","(0.070711000,0.070711000)",50.00093471,35.95829493,-14.04263978,50
"(0.070711000,0.070711000)","(0.035355000,0.035355000)",50.00093471,37.3526614,-12.64827331,50
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,40.84992425,-9.149596244,50
"(0.000000000,0.000000000)","(-0.035355000,0.035355000)",49.9995205,47.60215575,-2.397364743,50
"(-0.035355000,0.035355000)","(0.000000000,0.070711000)",50.00022761,35.77073071,-14.2294969,50
"(0.000000000,0.070711000)","(0.035355000,0.035355000)",50.00022761,40.60102027,-9.399207335,50
"(0.035355000,0.035355000)","(0.000000000,0.000000000)",49.9995205,40.36275974,-9.636760761,50
"(0.000000000,0.000000000)","(0.050000000,0.000000000)",50,27.72776136,-22.27223864,50
"(0.050000000,0.000000000)","(0.014645000,0.035355000)",49.9995205,45.67625458,-4.323265922,50
"(0.014645000,0.035355000)","(0.050000000,0.070711000)",50.00022761,34.29312978,-15.70709783,50
"(0.050000000,0.070711000)","(0.085355000,0.035355000)",50.00022761,43.4986591,-6.501568514,50
"(0.085355000,0.035355000)","(0.050000000,0.000000000)",49.9995205,41.37724687,-8.622273628,50
"(0.050000000,0.000000000)","(0.000000000,0.000000000)",50,27.52008565,-22.47991435,50
"(0.000000000,0.000000000)","(-0.035355000,-0.035355000)",49.9995205,41.37226575,-8.627254752,50
"(-0.035355000,-0.035355000)","(0.014645000,-0.035355000)",50,31.52974321,-18.47025679,50
"(0.014645000,-0.035355000)","(0.064645000,-0.035355000)",50,26.83672868,-23.16327132,50
"(0.064645000,-0.035355000)","(0.029289000,0.000000000)",50.00022761,43.75905354,-6.241174066,50
"(0.029289000,0.000000000)","(0.000000000,0.000000000)",29.289,16.20745264,-13.08154736,50
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,55.84104905,-44.15895095,50
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100,82.09788153,-17.90211847,50
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100,80.75813479,-19.24186521,50
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,58.30100256,-41.69899744,50
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100,93.35522467,-6.64477533,50
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100,116.5960594,16.59605937,50
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100,115.8654246,15.86542463,50
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100,95.52221269,-4.477787313,50
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.0004552,77.92881452,-22.07164069,50
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.999041,74.20293262,-25.79610838,50
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.999041,72.54628084,-27.45276016,50
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,78.08923212,-21.91122309,50
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.0004552,85.49098834,-14.50946687,50
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.9997481,71.26550977,-28.73423834,50
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.9997481,79.52911281,-20.4706353,50
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,77.36158538,-22.63886983,50
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,58.34017557,-41.65982443,50
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.0004552,86.43633793,-13.56411727,50
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.9997481,69.7977454,-30.20200271,50
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.9997481,88.59822739,-11.40152071,50
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.0004552,87.67655928,-12.32389592,50
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,57.13213005,-42.86786995,50
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.0004552,79.92834795,-20.07210726,50
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",100,62.81077927,-37.18922073,50
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",100,59.82398842,-40.17601158,50
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.9997481,84.52585527,-15.47389283,50
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,35.70839341,-22.87060659,50
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,59.68310843,-40.31689157,50
"(0.100000000,0.000000000)","(0.200000000,0.000000000)",100,78.64250185,-21.35749815,50
"(0.200000000,0.000000000)","(0.100000000,0.000000000)",100,77.75121882,-22.24878118,50
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,60.43844483,-39.56155517,50
"(0.000000000,0.000000000)","(0.000000000,0.100000000)",100,95.45335439,-4.546645606,50
"(0.000000000,0.100000000)","(0.000000000,0.200000000)",100,115.3969457,15.39694573,50
"(0.000000000,0.200000000)","(0.000000000,0.100000000)",100,115.6292203,15.62922029,50
"(0.000000000,0.100000000)","(0.000000000,0.000000000)",100,94.56126897,-5.438731027,50
"(0.000000000,0.000000000)","(0.070711000,0.070711000)",100.0004552,77.49565392,-22.50480129,50
"(0.070711000,0.070711000)","(0.141421000,0.141421000)",99.999041,74.76386198,-25.23517901,50
"(0.141421000,0.141421000)","(0.070711000,0.070711000)",99.999041,76.76318856,-23.23585243,50
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,76.93688804,-23.06356717,50
"(0.000000000,0.000000000)","(-0.070711000,0.070711000)",100.0004552,86.45363265,-13.54682256,50
"(-0.070711000,0.070711000)","(0.000000000,0.141421000)",99.9997481,74.63071179,-25.36903632,50
"(0.000000000,0.141421000)","(0.070711000,0.070711000)",99.9997481,79.81879914,-20.18094897,50
"(0.070711000,0.070711000)","(0.000000000,0.000000000)",100.0004552,77.86129432,-22.13916088,50
"(0.000000000,0.000000000)","(0.100000000,0.000000000)",100,60.87888356,-39.12111644,50
"(0.100000000,0.000000000)","(0.029289000,0.070711000)",100.0004552,87.94021741,-12.0602378,50
"(0.029289000,0.070711000)","(0.100000000,0.141421000)",99.9997481,68.65783625,-31.34191185,50
"(0.100000000,0.141421000)","(0.170711000,0.070711000)",99.9997481,87.97074622,-12.02900189,50
"(0.170711000,0.070711000)","(0.100000000,0.000000000)",100.0004552,89.35965015,-10.64080505,50
"(0.100000000,0.000000000)","(0.000000000,0.000000000)",100,60.47024502,-39.52975498,50
"(0.000000000,0.000000000)","(-0.070711000,-0.070711000)",100.0004552,75.27820634,-24.72224887,50
"(-0.070711000,-0.070711000)","(0.029289000,-0.070711000)",100,56.86069458,-43.13930542,50
"(0.029289000,-0.070711000)","(0.129289000,-0.070711000)",100,60.49525537,-39.50474463,50
"(0.129289000,-0.070711000)","(0.058579000,0.000000000)",99.9997481,84.72409748,-15.27565063,50
"(0.058579000,0.000000000)","(0.000000000,0.000000000)",58.579,34.95874121,-23.62025879,50
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,186.7147879,-63.28521214,50
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250,187.9123996,-62.08760036,50
"(0.500000000,0.000000000)","(0.250000000,0.000000000)",250,188.8544972,-61.14550281,50
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,184.4263286,-65.5736714,50
"(0.000000000,0.000000000)","(0.000000000,0.250000000)",250,270.6213598,20.62135984,50
"(0.000000000,0.250000000)","(0.000000000,0.500000000)",250,233.7569873,-16.2430127,50
"(0.000000000,0.500000000)","(0.000000000,0.250000000)",250,232.4544917,-17.54550827,50
"(0.000000000,0.250000000)","(0.000000000,0.000000000)",250,270.9228128,20.92281279,50
"(0.000000000,0.000000000)","(0.176777000,0.176777000)",250.0004309,202.2120072,-47.78842372,50
"(0.176777000,0.176777000)","(0.353553000,0.353553000)",249.9990167,283.4199803,33.42096361,50
"(0.353553000,0.353553000)","(0.176777000,0.176777000)",249.9990167,243.4742254,-6.524791327,50
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,201.1966882,-48.80374274,50
"(0.000000000,0.000000000)","(-0.176777000,0.176777000)",250.0004309,230.6841276,-19.31630329,50
"(-0.176777000,0.176777000)","(0.000000000,0.353553000)",249.9997238,214.662783,-35.33694083,50
"(0.000000000,0.353553000)","(0.176777000,0.176777000)",249.9997238,254.2645576,4.264833792,50
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,203.9211152,-46.07931573,50
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,189.2613841,-60.7386159,50
"(0.250000000,0.000000000)","(0.073223000,0.176777000)",250.0004309,244.446133,-5.554297924,50
"(0.073223000,0.176777000)","(0.250000000,0.353553000)",249.9997238,236.4171792,-13.58254461,50
"(0.250000000,0.353553000)","(0.426777000,0.176777000)",249.9997238,266.1518019,16.15207805,50
"(0.426777000,0.176777000)","(0.250000000,0.000000000)",250.0004309,204.8935958,-45.10683509,50
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,188.497772,-61.50222804,50
"(0.000000000,0.000000000)","(-0.176777000,-0.176777000)",250.0004309,206.5880052,-43.41242567,50
"(-0.176777000,-0.176777000)","(0.073223000,-0.176777000)",250,169.8646483,-80.13535174,50
"(0.073223000,-0.176777000)","(0.323223000,-0.176777000)",250,213.4058644,-36.59413558,50
"(0.323223000,-0.176777000)","(0.146447000,0.000000000)",249.9997238,254.5333799,4.533656097,50
"(0.146447000,0.000000000)","(0.000000000,0.000000000)",146.447,92.05064619,-54.39635381,50
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,183.7531994,-66.24680059,50
"(0.250000000,0.000000000)","(0.500000000,0.000000000)",250,195.4336263,-54.56637367,50
"(0.500000000,0.000000000)","(0.250000000,0.000000000)",250,193.3927377,-56.60726228,50
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,184.9471513,-65.05284869,50
"(0.000000000,0.000000000)","(0.000000000,0.250000000)",250,270.9723977,20.97239769,50
"(0.000000000,0.250000000)","(0.000000000,0.500000000)",250,234.9843597,-15.01564029,50
"(0.000000000,0.500000000)","(0.000000000,0.250000000)",250,234.0464207,-15.9535793,50
"(0.000000000,0.250000000)","(0.000000000,0.000000000)",250,272.205023,22.20502296,50
"(0.000000000,0.000000000)","(0.176777000,0.176777000)",250.0004309,202.7013421,-47.29908879,50
"(0.176777000,0.176777000)","(0.353553000,0.353553000)",249.9990167,244.2533758,-5.745640945,50
"(0.353553000,0.353553000)","(0.176777000,0.176777000)",249.9990167,245.2759047,-4.72311199,50
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,201.1980694,-48.80236147,50
"(0.000000000,0.000000000)","(-0.176777000,0.176777000)",250.0004309,230.1324262,-19.86800474,50
"(-0.176777000,0.176777000)","(0.000000000,0.353553000)",249.9997238,217.5848684,-32.41485541,50
"(0.000000000,0.353553000)","(0.176777000,0.176777000)",249.9997238,256.7847833,6.785059473,50
"(0.176777000,0.176777000)","(0.000000000,0.000000000)",250.0004309,205.8691267,-44.1313042,50
"(0.000000000,0.000000000)","(0.250000000,0.000000000)",250,186.6789725,-63.32102752,50
"(0.250000000,0.000000000)","(0.073223000,0.176777000)",250.0004309,243.6978292,-6.302601718,50
"(0.073223000,0.176777000)","(0.250000000,0.353553000)",249.9997238,235.4560957,-14.54362814,50
"(0.250000000,0.353553000)","(0.426777000,0.176777000)",249.9997238,264.6705054,14.67078156,50
"(0.426777000,0.176777000)","(0.250000000,0.000000000)",250.0004309,206.5402202,-43.46021075,50
"(0.250000000,0.000000000)","(0.000000000,0.000000000)",250,185.330872,-64.66912797,50
"(0.000000000,0.000000000)","(-0.176777000,-0.176777000)",250.0004309,209.1557147,-40.84471617,50
"(-0.176777000,-0.176777000)","(0.073223000,-0.176777000)",250,167.4638525,-82.53614747,50
"(0.073223000,-0.176777000)","(0.323223000,-0.176777000)",250,209.1812823,-40.81871772,50
"(0.323223000,-0.176777000)","(0.146447000,0.000000000)",249.9997238,250.5413542,0.541630385,50
"(0.146447000,0.000000000)","(0.000000000,0.000000000)",146.447,98.7311049,-47.7158951,50
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,3.524956821,2.524956821,25
"(0.001000000,0.000000000)","(0.002000000,0.000000000)",1,1.641207935,0.641207935,25
"(0.002000000,0.000000000)","(0.001000000,0.000000000)",1,2.205915784,1.205915784,25
"(0.001000000,0.000000000)","(0.000000000,0.000000000)",1,2.317952723,1.317952723,25
"(0.000000000,0.000000000)","(0.000000000,0.001000000)",1,2.934522273,1.934522273,25
"(0.000000000,0.001000000)","(0.000000000,0.002000000)",1,2.263860563,1.263860563,25
"(0.000000000,0.002000000)","(0.000000000,0.001000000)",1,2.370424936,1.370424936,25
"(0.000000000,0.001000000)","(0.000000000,0.000000000)",1,1.779395985,0.779395985,25
"(0.000000000,0.000000000)","(0.000707000,0.000707000)",0.999848989,2.283346236,1.283497248,25
"(0.000707000,0.000707000)","(0.001414000,0.001414000)",0.999848989,1.792753437,0.792904449,25
"(0.001414000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.371696706,1.371847717,25
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,2.378461785,1.378612797,25
"(0.000000000,0.000000000)","(-0.000707000,0.000707000)",0.999848989,1.361253802,0.361404814,25
"(-0.000707000,0.000707000)","(0.000000000,0.001414000)",0.999848989,2.234624325,1.234775336,25
"(0.000000000,0.001414000)","(0.000707000,0.000707000)",0.999848989,2.341032337,1.341183348,25
"(0.000707000,0.000707000)","(0.000000000,0.000000000)",0.999848989,1.805036684,0.805187695,25
"(0.000000000,0.000000000)","(0.001000000,0.000000000)",1,1.829870718,0.829870718,25
"(0.001000000,0.000000000)","(0.000293000,0.000707000)",0.999848989,1.688010945,0.688161956,25
"(0.000293000,0.000707000)","(0.001000000,0.001414000)",0.999848989,1.97991858,0.980069592,25
